,title,MLS ID,transaction_type,home_type,level,first day on market,last day on market,sold_price,list_price,bedrooms,bathrooms,den,sqft,exposure,parking,locker,maintanance fee,description,link,address
0,18 Brookfield Rd | House For Sale,C5074734,for sale,Residential House,,20210104,,,"6,280,000",5,7,1,5000+,N,,,,"*Hoggs Hollow Hidden Jewel**Truly Elegant*56X295Ft Ravine Lot W/Lg Table Land*Spectacular/Luxurious 4558Sf(1st/2nd)+Apx 2400Sf Of Bsmt*Completely Redone W/World Class Materials&amp;Designer Deco*Impeccable Craftsmanship W/Superb Flr Plan*Exquisite Millwork/Built-In Shelves/Panelling/C-Speakers*H-Ceiling At All Lvls*Breathtaking Million Dollars Muskoka Cottage Setting Bkyd/Tranquil-Priv/Treed W/Heated Swimming Pool/Stone Deck/Built In Bbq*Allows All Season Parties *Paneled Refrigerator,Gas Stove,Paneled B/I Dishwasher,Range Hood,F/L Washer/Dryer,Gas Fireplaces,Cvac,B/I Outdr Bbq W/Stone Patio,Designer Quality Swimming Pool,Halogen Lits,Hardwood Floor,Panelled Lib-Shelves,Inclusions/Exclusions(Sch D)""",https://www.realmaster.com/en/toronto-on/18-brookfield-rd/bridle-path-sunnybrook-york-mills-TRBC5074734?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"18 Brookfield Rd, Toronto, Ontario, M2P1A9"
1,67 Pembroke St | House For Sale,C5071563,for sale,Residential House,,20201228,,,"3,388,000",6,4,1,,E,,,,"**Spectacular-Captivating Victorian Mansion On 40X120Ft Land In Moss Park Of C-D/Tn--Rapidly Revitalizing Location:Endless Potential*Private Drvwy/Multi-Parking Available**Meticulously Maintained-Lovely Cared By Owner(Just Move-In Con)-Formal Principal Rms*Classic/Grand Strcse+Service Strcse*Spacious 6+1Bedrms-4Washrms-2Kitchen*Soaring Over 10Ft Ceiling(Main)-Stained Glass,Vitorian Wdtrim-Mouldings &amp; More-Potential Commercial Use*Sep Entrance To Bsmt *Upd'd S/S Fridge,Upd'd B/I Stove,Upd'd S/S B/I Dishwasher,Washer/Dryer,Upd'd Kit Cabinet/Countertop,S-S Appl,Centre Island,Upd'd Washrms,Gas Fireplace(Rec:Bsmt),Multi-Old Charm F/Pcs,Maintenance Free Slate Roof,Upg'd Elec Panel,Fenced Yd""",https://www.realmaster.com/en/toronto-on/67-pembroke-st/moss-park-TRBC5071563?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"67 Pembroke St, Toronto, Ontario, M5A2N9"
2,105 Hickorynut Dr | House For Sale,C5096492,for sale,Residential House,,20210128,,,"888,000",3,2,0,,E,,,,"Located In The Heart Of Pleasant View, Sitting On A Quiet Street, Mins To Highway 404, 401, Cherokee Public School, Our Lady Of Mount Carmel, St. Gerald Catholic School, Seneca, Fairview Mall, Shawnee Park,  Don Mills Subway, Ttc, Stores, Shopping Malls, All You Can List. Spacious And Fully Functional Layout. Living Room With Large Window And Look Out To The Front Yard. Walk Out To Patio, Walk-Out Basement W Separate Entrance, Decent Potential Rental Income! Appliances, Elfs, Window Coverings. Freezer In Basement Storage.""",https://www.realmaster.com/en/toronto-on/105-hickorynut-dr/pleasant-view-TRBC5096492?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"105 Hickorynut Dr, Toronto, Ontario, M2J4W6"
3,47 Tineta Cres | House For Sale,E5098699,for sale,Residential House,,20210130,,,"699,000",3,3,1,,S,,,,"Bright Open Concept 3 Bedroom W/ Finished Walkout Basement W/ Separate Entrance, That Can Easily Be Converted Into An Basement Apartment. Rarely 200 Feet Deep Lot With Private Yard &amp; 14.5' X 8' Deck. A Quiet Neighborhood Area Conveniently Located Near Schools, Scarborough Town Centre Mall, Public Transit And Hwy 401. Must See! Appliances:  Fridge,  Stove, Range Hood, Washer &amp; Dryer, Elfs. Garage Door Opener, Hwt (Rental)""",https://www.realmaster.com/en/toronto-on/47-tineta-cres/agincourt-south-malvern-west-TRBE5098699?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"47 Tineta Cres, Toronto, Ontario, M1S2Y5"
4,55 Ann O'reilly Road | Condo Apt For Sale,,for sale,Residential Condo Apt,20,20210125,,,"689,000",2,2,1,700-799,NE,,,458,"暗盘代售，Tridel打造，55 Ann O’reilly高级公寓，高层2+1户型，方正宽敞维护佳，视野开阔，大Oversized车位，可并排停两辆车！实价$689,900🔥🔥视频云看房+户型图Available。WX:Deven-chen""",https://www.realmaster.com/en/toronto-on/55-ann-oreilly-road/RM1-37157?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"55 Ann O'reilly Road, Toronto, Ontario, M2J 5B5"
5,20 Shore Breeze Dr 4604 | Apartment For Sale,W4996953,for sale,Residential Apartment,47,20201120,,,"1,169,990",2,2,1,1000-1199,N,Owned108D,Owned,736.24,"Welcome To Eau Du Soliel- Toronto's Most Luxurious Waterfront Condominium By Empire Communities. Fantastic Opportunity To Buy Direct From Builder. Soaring 9 Ft Smooth Ceilings, Gorgeous Views, State Of The Art Appliances, Parking And Locker Included. Resort Style Amenities Including Saltwater Pool, Lounge, Games Room, Gym, Yoga &amp; Pilates Studio,Dining Room, Garden And Party Room. Dont Miss Out! Pre-Engineered H/W Flooring Through-Out. Extended Kitchen Cabinetry: S/S Kitchen Appliances Package Include Stove, Fridge, D/W And Over The Range Microwave Hood Fan. Stacked White Washer And Dryer""",https://www.realmaster.com/en/toronto-on/20-shore-breeze-dr/4604-mimico-TRBW4996953?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"4604 20 Shore Breeze Dr, Toronto, Ontario, M8V0C7"
6,42 Charles St E Lph4902 | Apartment For Sale,C5098027,for sale,Residential Apartment,49,20210129,,,"1,499,000",2,3,1,1000-1199,SW,Owned,Owned,828.52,"Beautiful And Prestigious Penthouse Azure Layout In Casa2. 2 Bdrm+Den And Den Can Be Used As Br. Neverending Views Facing South,West And East. 10 Foot Ceilings, With Over 400Sqft Wrap Around Balcony. Over 100K Spent On High End Finishes Throughout W/ Marble Flr, Marble Accent Wall, High End Chandeliers, Marble Countertops&amp;Island W/ Gaggenau Appliances. Only Steps To Yonge&amp;Bloor, Uoft Campus, Ryerson U, Subways, Yorkville, And Many Top Restaurants! Window Coverings, All Electrical Light Fixtures, S/S Stove, S/S Oven, S/S Microwave, Gaggenau Fridge, Dishwasher, Range Hood, Washer, Dryer. Engineered Hardwood And Marble Throughout! Please Refer To Schedules For More Upgrades!""",https://www.realmaster.com/en/toronto-on/42-charles-st-e/lph4902-church-yonge-corridor-TRBC5098027?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"Lph4902 42 Charles St E, Toronto, Ontario, M4Y0B7"
7,2800 Keele St 427 | Apartment For Sale,W5093164,for sale,Residential Apartment,4,20210125,,,"530,000",1,1,0,600-699,N,Owned41,Owned,360.95,"Low Maintenance Fees! Immaculate, Bright, &amp; Spacious One Bedroom Unit Boasting 687 Sq Ft + 39 Sq Ft Balcony. The Sleek Galley Kitchen Equipped With Stainless Steel Appliances Leads Into The Open Floor Plan, Complete With Ensuite Laundry And Stainless Steel Appliances, Underground Parking, &amp; Locker. Incredible Quality Investment Property In The City. Steps To Humber River Hospital, Highways, Subway, &amp; Ttc At Doorstep. Not To Be Missed! Stainless Steel Fridge, Stainless Steel Stove, Stainless Steel Dishwasher &amp; Otr, Washer/Dryer. All Elfs. Exclude Drapes""",https://www.realmaster.com/en/toronto-on/2800-keele-st/427-downsview-roding-cfb-TRBW5093164?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"427 2800 Keele St, Toronto, Ontario, M3M2G4"
8,11 Charlotte St 508 | Apartment For Sale,C5082553,for sale,Residential Apartment,5,20210112,,,"775,000",2,1,0,700-799,NE,NoneNone,Owned,608.31,"A Spacious Luxury 2-Bedroom Suite Located In The Coveted King &amp; Spadina Area. This Bright Loft-Style Condo Unit Offers Over 760 Sqft Of Living Space. Features Include 9-Ft Exposed Concrete Ceilings, Concrete Feature Walls And Columns, Floor-To-Ceiling Windows, Quartz Countertop, Euro-Style Kitchen Cabinetry, Built-In Stainless Steel Kitchen Appliances, Gas Cooktop, And Gas Bbq On Balcony. 24Hrs Concierge, Exercise Room, Rooftop Terrace And Infinity Pool. S/S Fridge, Built-In Oven, Gas Cooktop, S/S Dishwasher, S/S Microwave, Stacked Washer &amp; Dryer, All Window Coverings, All Electrical Light Fixtures, Gas Bbq. One Locker Included.""",https://www.realmaster.com/en/toronto-on/11-charlotte-st/508-waterfront-communities-c1-TRBC5082553?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"508 11 Charlotte St, Toronto, Ontario, M5V0M6"
9,2301 Danforth Ave 104 | Apartment For Sale,E5064907,for sale,Residential Apartment,1,20201214,,,"693,850",1,2,0,700-799,E,Owned,Ensuite,496.51,"Brand New - This 2 Level Condo Features Ground Floor Open Concept Living Area With2 Pcs Bth; Lower Level Includes: Ensuite Storage Room, Private Bedroom W/ 4Pcs. Ensuite, Laundry, Den Area With W/O To Patio. Building Features: Fitness Center; Yoga Studio, Party Room With Kit &amp; Bar Area; Outdoor Rooftop Terrace Seating, Fire Pit, Bbq, Lounge Chairs &amp; With Spectacular Views Of Toronto's Skyline &amp; Lake Ontario. Purchase Direct From Builder. Included Are: Stainless Steel Fridge, Stove, Rang Hood/Microwave, Built-In Dishwasher; Front Load Clothes Washer &amp; Dryer. One Parking Spot.  Photos Virtually Staged For Illustration Purpose.""",https://www.realmaster.com/en/toronto-on/2301-danforth-ave/104-east-end-danforth-TRBE5064907?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"104 2301 Danforth Ave, Toronto, Ontario, M4C1K5"
10,2301 Danforth Ave 102 | Apartment For Sale,E5064531,for sale,Residential Apartment,1,20201214,,,"652,850",1,2,0,700-799,E,None,Ensuite,442.62,"Brand New Contemporary Urban Living. Feels Like A Townhome This 2 Level Condo Features Ground Floor Open Concept Living Area W/2Pc Bath &amp; Lower Level Private Bedroom With 4Pcs Ensuite, Laundry &amp; Den Area With W/O To Patio.  Building Features: Fitness Center; Yoga Studio, Party Room With Kit &amp; Bar Area; Outdoor Rooftop Terrace Seating, Fire Pit, Bbq, Lounge Chairs &amp; With Spectacular Views Of Toronto's Skyline &amp; Lake Ontario. Purchase From Builder. Included Are:  Stainless Steel Fridge, Stove, Rang Hood/Microwave, Built-In Dishwasher; Front Load Clothes Washer &amp; Dryer. Parking And Locker May Be Available -Inquire.""",https://www.realmaster.com/en/toronto-on/2301-danforth-ave/102-east-end-danforth-TRBE5064531?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"102 2301 Danforth Ave, Toronto, Ontario, M4C1K5"
11,155 Yorkville Ave 2512 | Apartment For Sale,C5093066,for sale,Residential Apartment,24,20210125,,,"479,000",0,1,0,0-499,S,None,Owned,395.79,"Situated In The Yorkville Condo Building (Formally The Iconic Four Seasons Hotel), This Light Filled Studio Sits On A High Floor With South Facing Views! Featuring Sleek European Design &amp; Expansive Windows, This Unit Comes Fully Furnished, Making It The Perfect Turn-Key Property For The Busy Professional! The Building Offers A Wide Array Of Amenities.. Amenities Include; Exercise Rm &amp; Fitness Auditor W/Circuit Training, Party Rm, Media Longe, Guest Suites, Friendly 24 Hr Concierge Service, Security System, Fridge, Cooktop, Built-In Microwave, Dishwasher, Washer/Dryer And Locker.""",https://www.realmaster.com/en/toronto-on/155-yorkville-ave/2512-annex-TRBC5093066?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"2512 155 Yorkville Ave, Toronto, Ontario, M5R1C4"
12,33 Harbour Sq Ph3504 | Apartment For Sale,C5098071,for sale,Residential Apartment,45,20210129,,,"2,300,000",3,3,0,2250-2499,SW,Exclusive3067,Exclusive,1948.88,"Rarely Offered, Bright, Sun-Filled Luxurious 2-Storey Waterfront Penthouse In The Heart Of Toronto's Harbourfront. Large Principal Rooms/Work At Home,3 Bed, 3 Baths W/Heated Floors, Open Concept Main Floor W/10' Ceilings, Floor To Ceiling Windows, Wood Burning Fireplace, Modern Kitchen With B/I S/S Appliances, Granite Counters &amp; Island.  Direct Connection To Westin Harbour Castle. Minutes To Path, Enjoy The Resort Like Lifestyle At This Magnificent Penthouse! Kitchenaid Refrigerator, Dacor Oven, Cooktop &amp; Microwave, Bosch Dishwasher, 2nd Floor W/D, All Elfs, Closet Organizers, Blinds T/O, Cac, Locker &amp; Parking.  Free Shuttle Bus, Salt Water Indoor Pool, Gym, Guest Suites, Outdoor Terraces &amp; Bbqs""",https://www.realmaster.com/en/toronto-on/33-harbour-sq/ph3504-waterfront-communities-c1-TRBC5098071?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"Ph3504 33 Harbour Sq, Toronto, Ontario, M5J2G2"
13,155 Legion Rd N 2501 | Apartment For Sale,W5084805,for sale,Residential Apartment,24,20210114,,,"599,000",1,2,1,800-899,SE,Owned#69,None,771.13,"Experience The Best S.E Views Of Downtown Toronto &amp; Lake From This Rarely Offered 2-Storey Loft At Popular Iloft! Open Concept Layout Features Floor To Ceiling Windows. Newly Reno'd Kitchen Cabinets &amp; Quartz Counters, Laminate Floor, Bathroom Vanities, New Light Fixtures &amp; Fresh Paint.  Full Sized S/S Appl. Master Fits King Sized Bed, W/ Walk-In Closet And Den. Includes 1 Parking Spot. Incl; Fridge, Stove, Dishwasher, Washer/Dryer, 1 Parking Spot.""",https://www.realmaster.com/en/toronto-on/155-legion-rd-n/2501-mimico-TRBW5084805?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"2501 155 Legion Rd N, Toronto, Ontario, M8Y0A7"
14,438 King St W 504 | Apartment For Sale,C5097545,for sale,Residential Apartment,5,20210129,,,"795,000",2,2,0,700-799,NE,Owned202,Owned,586.53,"King &amp; Spadina - Trendy King West Village - Fabulous Two Bedroom And Two Full Bathrooms Spacious Condo Unit. Parking &amp; Locker Included; Wired For Fiber Optics, Wood Floors Throughout, Garden Terrace With Bbqs. Steps To Everything - Shopping, Lcbo, Ttc,. Don't Miss Out! Walk Score 100! Transit Score 100! Granite, Stainless Steel Full Size Appliances. Maintenance Fee Includes Heat, Hydro, Water And Central Air-Conditioning. Stainless Steel Fridge, Stove, Built-In Dishwasher, Laundry Washer, Dryer, All Window Coverings, One Parking And One Locker.""",https://www.realmaster.com/en/toronto-on/438-king-st-w/504-waterfront-communities-c1-TRBC5097545?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"504 438 King St W, Toronto, Ontario, M5V3T9"
15,21 Iceboat Ter 3510 | Apartment For Sale,C5095898,for sale,Residential Apartment,30,20210127,,,"629,000",1,1,1,500-599,SW,Owned,Owned,470.85,"Bright And Spacious One Plus Den With Beautiful Lake, Island And City Views. Newly Installed Wood Floors, Freshly Painted. Professionally Cleaned, Approx 585 Sf+36 Sf Balcony. Den Can Be Used As A Second Bedroom, 9 Foot High Ceilings. 24 Hrs Concierge, Amenities Include Lap Pool, Gym, Lounge. Short Walk To Waterfront, Canoe Landing Park, Schools, Library, Sobey's/Loblaws/Shoppers Drug Mart, Financial District, Rogers Centre, Great Value For 1st Time Buyer . Top Of The Line Miele Kitchen Appliances:Paneled Fridge And Dishwasher, B/I Stove, B/I Microwave, Hood Fan, B/I Oven. Stacked Washer/Dryer, Quartz Counter Top. Vertical Blinds, One Parking Spot And One Storage Locker Are Included.""",https://www.realmaster.com/en/toronto-on/21-iceboat-ter/3510-waterfront-communities-c1-TRBC5095898?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"3510 21 Iceboat Ter, Toronto, Ontario, M5V4A9"
16,25 Town Centre Crt 3105 | Apartment For Sale,E5092715,for sale,Residential Apartment,27,20210123,,,"589,000",2,2,0,1000-1199,SE,Owned,Exclusive,649.82,"Spacious 2 Bedroom 2 Washroom Suite At Centro Condos. Open Concept Layout, Modern, Spacious Two Bedrooms Suite With 1019 Sqft. Corner Unit With Amazing South-East View. Bright And Sunny. W/O To 61 Sqft Balcony. Great Location, Close To Ttc, Scarborough Town Centre, Hwy 401, Go Bus Station, Shops, Restaurants And Much Much More! Ss Fridge,Stove,Wine Fridge,B/I Dishwasher,Upgraded Glass Hoodfan,Modern Pullout Spiral Kitchen Spray Faucet, Backsplash,Granite Kitchen Countertop.White Washer&amp;Dryer.All Elfs.""",https://www.realmaster.com/en/toronto-on/25-town-centre-crt/3105-bendale-TRBE5092715?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"3105 25 Town Centre Crt, Toronto, Ontario, M1P0B4"
17,70 Queens Wharf Rd 2909 | Apartment For Sale,C5087132,for sale,Residential Apartment,25,20210115,,,"815,000",2,2,0,800-899,NE,OwnedP3,Owned,629.27,"Exceptional Design 2 Br Suite W/ 2 Full Baths, 802+48 Sf Balcony. Wake Up To Beautiful Sunrise, Cn Tower &amp; Lake View. Open Concept Modern L-Shape Kitchen W/ Quartz Ctr &amp; Integrated European Appliances, Floor-Ceiling Windows. Steps To Transit, Restaurants, Rogers Centre, Loblaws, Shoppers, Sobeys, Library, 8-Acre Park, Waterfront, Island Airport. Easy Access To Gardiner &amp; Lake Shore, Ideal For Family Starter Or Investment. Incl 1 Parking &amp; 1 Locker Existing Integrated Appliances: Stove Top, Oven, D/W, Microwave, Hood Fan, Stacked Full Size Front Loading Washer/Dryer, Roller Blinds &amp; All Elf. Amazing Amenities: Pool, Gym, Dance/Yoga Studio, Music Studio, Children Play Rm, Bbq Crt""",https://www.realmaster.com/en/toronto-on/70-queens-wharf-rd/2909-waterfront-communities-c1-TRBC5087132?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"2909 70 Queens Wharf Rd, Toronto, Ontario, M5V0J2"
18,2756 Old Leslie St 717 | Apartment For Sale,C5079274,for sale,Residential Apartment,7,20210108,,,"538,000",1,1,1,600-699,S,Owned,None,486.11,"Luxurious Condo, 9 Ft Ceilings, Beautiful Unobstructed South View, 24 Hrs Concierge, Next To Leslie Subway Station, One Parking Included, Den Can Be Used As Bedroom, Close To Hwy 401/404, Bayview Village, Fairview Mall, Schools, Hospital. Walking Distance To Canadian Tire And Ikea. All Amenities Are Conveniently Accessible. Gym, Indoor Pool, Party/Meeting Room, Rooftop Deck/Garden. Stainless Steel Fridge, Stainless Steel Stove, Stainless Steel B/I Dishwasher, Front Load Washer &amp; Dryer, Granite Counters, All Window Coverings, All Elf's.""",https://www.realmaster.com/en/toronto-on/2756-old-leslie-st/717-bayview-village-TRBC5079274?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"717 2756 Old Leslie St, Toronto, Ontario, M2K 0E2"
19,141 Galloway Rd S 33 | Townhouse For Sale,E5098262,for sale,Residential Townhouse,1,20210129,,,"599,999",3,2,0,1200-1399,N,Exclusive,None,286,"Spacious And Beautifully Maintained 3Bedroom, 2 Bathroom Townhome, With W/O To Back Yard. Features Updated Eat-In Kitchen With Ss Appliances, Gleaming Hardwood Floors, High Ceilings And Sunken Living Room. Ss Kenmore Fridge (In Basement), Ss Stove, Dishwasher, Washer, Dryer, Tankless Water Heater (Owned), Gazebo (In Backyard)! Light Fixtures ( Living Room Light Fixture Excluded).""",https://www.realmaster.com/en/toronto-on/141-galloway-rd-s/33-west-hill-TRBE5098262?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"33 141 Galloway Rd S, Toronto, Ontario, M1E4X4"
20,38 Grand Magazine St 845 | Apartment For Sale,C5091428,for sale,Residential Apartment,6,20210122,,,"549,900",1,1,1,600-699,SW,OwnedC54,Owned,492.24,"This Stylish &amp;Immaculate Kept One Bedrm &amp; Den W/Balcony,One Locker &amp; One Parking,Situated In The Upscale Waterfront Condo. Den Can Be Used Comfortable As 2nd Br, Private Huge Balcony O/L Courtyard,Resort Style Living In The City,Modern Kit W/Backsplash,S/S Appls &amp;Breakfast Bar,Updated New Light Fixtures,Freshly New Painted,Steps To Newly Opened Loblaws,Shoppers Drug Mart,Lcbo,24Hrs St Car,Mins Walk To Waterfront,Island Airport,Cne,Parks,Restaurants, Etc. S/S Fridge, Stove, B/I Dishwasher, B/I Microwave, Washer, Dryer, Exhaust Fan, Electric Light Fixtures, All Window Coverings.""",https://www.realmaster.com/en/toronto-on/38-grand-magazine-st/845-niagara-TRBC5091428?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"845 38 Grand Magazine St, Toronto, Ontario, M5V 0B1"
21,200 Victoria St 1106 | Apartment For Sale,C4978273,for sale,Residential Apartment,7,20201104,,,"418,000",0,1,0,0-499,W,None,Owned,527.82,"Location! Location! Location! Largest Studio Unit In The Building. Light And Bright, Lots Of Windows, New Hardwood Floors, Freshly Painted And Move-In Ready. Maintenance Fee Includes All Utilities! Near St. Mike's Hospital, Ryerson, The Eaton Centre, Dundas Square And So Much More! Subway A Short Stroll Away . Affordable Downtown Living. 24 Hr Concierge, Fran's Diner And Martini Bar At Base Of The Building. Walk Score 98! Transit Score 100 Includes: Fridge, Cooktop, Built-In Microwave/Hood Fan, Dishwasher, Countertop Convection Oven, Stackable Washer &amp; Dryer.""",https://www.realmaster.com/en/toronto-on/200-victoria-st/1106-church-yonge-corridor-TRBC4978273?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"1106 200 Victoria St, Toronto, Ontario, M5B1V8"
22,830 Lawrence Ave 1501 | Apartment For Sale,W5080505,for sale,Residential Apartment,15,20210109,,,"479,000",1,1,0,500-599,W,Owned,Owned,371.6,"Clear Unobstructed Sunny West Views Come With This Palma 507 Sq Ft Per Builders Floor-Pla One Bedroom. Features Include Granite Top In Kitchen, Laminate/Ceramic Floors, Balcony And 1 Parking Spot &amp; 1 Locker. Owners Also Enjoy The Indoor Pool, Sauna, Rooftop Bbq Area, Exercise Room, 24 Hr Concierge, Steps To Ttc, 15 Min Walk To Lawrence Ave West Subway, 1 Km South Of Yorkdale Mall. Lots Of Visitors Parking, Lawrence Square Mall And 24Hrs Shoppers Drug Mart.. All Elfs, S/S Fridge, S/S Stove, S/S Dishwasher, S/S Microwave, White Washer And Dryer.""",https://www.realmaster.com/en/toronto-on/830-lawrence-ave/1501-yorkdale-glen-park-TRBW5080505?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"1501 830 Lawrence Ave, Toronto, Ontario, M6A1C3"
23,50 Wellesley St 1904 | Apartment For Sale,C5098322,for sale,Residential Apartment,16,20210129,,,"799,000",2,2,0,700-799,NE,Owned48,Owned,551.57,"1 Year New Luxury Condo 2Br2Wr Corner Unit Unobstructed View Comes With 1 Parking &amp; 1 Locker. Bright Unit With Lots Of Nature Light &amp; Huge Wrap Around Balcony. Functional Kitchen With Quartz Counter Tops And Backslash. Located In The Heart Of Dt Toronto, Step To Yonge/Wellesley Station, U Of T And Ryerson, Hospital, Restaurants, Shops &amp; More. 24Hr Concierge, 5-Star Amenities. Stainless Steel Appliances: Fridge. Stove. Dishwasher. Microwave W/ Hood. Big Size White Washer &amp; Dryer. All Existing Light Fixtures And Window Covering.""",https://www.realmaster.com/en/toronto-on/50-wellesley-st/1904-church-yonge-corridor-TRBC5098322?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"1904 50 Wellesley St, Toronto, Ontario, M4Y1G2"
24,12 Bonnycastle St 509 | Apartment For Sale,C5091740,for sale,Residential Apartment,5,20210122,,,"539,000",1,1,0,500-599,E,None,None,390.55,"Excellent Location In Downtown Waterfront**Newer Award-Winning Living Building**Sided Onto Park, Great View Of Lake &amp; City** Steps To Lake, Loblaws, Lcbo, Restaurant**Ttc At Door**9 Foot Ceilings**5-Star Hotel Style Infinity Outdoor Pool, Sun Decks, Bbq Terrace, Billiards Rm, Yoga Rm, Hot Tub &amp; Steam Sauna, Gym Rm, Dining Bar, Lounge, Guest Suites, Etc. Maintenance Included Fibre Internet. B/I Fridge &amp; Dishwasher, B/I Cook Top &amp; Oven, Microwave, Hood Range, Front Load Washer &amp; Dryer.""",https://www.realmaster.com/en/toronto-on/12-bonnycastle-st/509-waterfront-communities-c8-TRBC5091740?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"509 12 Bonnycastle St, Toronto, Ontario, M5A0C8"
25,760 Lawrence Ave W 47 | Townhouse For Sale,W5097670,for sale,Residential Townhouse,1,20210129,,,"515,000",1,1,0,700-799,S,OwnedA-27,Owned,349.6,"Urban Bright Town Home W Mono-Lvl In Most Preferred Location At Lawrence/Allen* Open-Concept Internal Size 721Sf+ Entertaining Outdoor Private Patio 235Sf+ Sep Outdoor Storage*South Exposure W Lots Of Sun, Bbq Allowed*Open Concept Kit &amp; Sunny Living Rm W Bay Window*Literally Steps To All City Amenities, Library/Shopping Plazas Satisfying All Needs*A Short Walk To Subway*Ample Storages Inside/Outside*Easy Access To Hwys, And More! Fridge, Stove, B/I Dishwasher, B/I Microwave, Washer &amp; Dryer, All Existing Window Coverings &amp; Light Fixtures, One Parking + One Outdoor Storage Room *No Kitec Plumbing""",https://www.realmaster.com/en/toronto-on/760-lawrence-ave-w/47-yorkdale-glen-park-TRBW5097670?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"47 760 Lawrence Ave W, Toronto, Ontario, M6A3E7"
26,50 Ordnance St 1984 | Apartment For Sale,C5098248,for sale,Residential Apartment,19,20210129,,,"499,800",1,1,0,500-599,W,None,None,367.8,"Assignment Sale At Playground Condos, 551 Sq. Ft, On High Floor With Views Of The City And Lake. The Unit Features 9' Smooth Ceilings, Engineered Flooring, Contemporary Kitchen And Contemporary Finishes Throughout. Counter Tops Upgraded To A Lavishing Stone Throughout. Occupancy February, 2021. Extras: Fridge, Stove, Dishwasher, Dryer, Alarm Security System.Located Just East Of Liberty Village. Easy Access To Ttc, Exhibition Go,&amp; To The Gardiner Expressway. Steps Away From Ttc, Exhibition Go &amp; Easy Access To The Gardiner Expressway. Extras:24 Hour Concierge, Fitness Centre, Rooftop Pool W/ Sun Deck, Bbq Terrace, Sauna, Party Room, Guest Suites &amp; More.**Interboard Listing: Niagara R.E. Assoc*""",https://www.realmaster.com/en/toronto-on/50-ordnance-st/1984-waterfront-communities-c1-TRBC5098248?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"1984 50 Ordnance St, Toronto, Ontario, M6K 1A2"
27,15 Grenville St 808 | Apartment For Sale,C5087687,for sale,Residential Apartment,8,20210118,,,"609,000",1,1,0,0-499,N,None,Owned,354.71,"Luxury Down Town Condo At Yonge And College. Steps To Yonge St Subway, University Of Toronto, Ryerson, Shopping Centre, Restaurants, Hospitals And Financial District.  Great Amenities: Concierge, Gym, Meeting/Party Rm, Rooftop Terrace With Lounge Canopy Seating, Bbq And Guest Rm. Integrated Kitchen Appliances : Fridge, Stove, Dishwasher, Microwave, Washer &amp; Dryer. All Existing Elf And Window Coverings.""",https://www.realmaster.com/en/toronto-on/15-grenville-st/808-bay-street-corridor-TRBC5087687?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"808 15 Grenville St, Toronto, Ontario, M4Y1A1"
